post_id,user_id,content,likes,shares,comments,timestamp,platform_x,category,total_engagement,sentiment_score,influencer_id,name,followers,engagement_rate,platform_y,predicted_engagement
54,3501,Did anyone else catch the new movie release? #movies #entertainment #style #food,61310,2523,4713,2024-03-01 23:20:13,Twitter,lifestyle,68546,0.11212121212121212,3501,Alex Starr,9030152,1.99,Twitter,57633.96473686172
55,2318,"Game night with friends, who’s your favorite player? #sports #basketball #basketball #fitness",42127,1662,2214,2024-08-30 19:30:51,TikTok,sports,46003,0.8,2318,Jane Starr,9703764,5.97,TikTok,56474.35995696997
56,3783,The future of programming is bright! #tech #innovation #sportsnews #basketball,89427,4404,1203,2024-04-06 00:07:13,TikTok,sports,95034,0.0,3783,Oliver Davis,7979716,8.27,Instagram,57815.41264310508
57,1977,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #football #workout,49736,2106,97,2024-10-29 18:40:36,YouTube,sports,51939,0.11212121212121212,1977,Chris Wilson,3715613,5.54,Instagram,57591.23687617542
58,2742,Catching up with my favorite show tonight! #tv #entertainment #style #travel,31239,9078,2191,2024-07-22 14:38:57,YouTube,lifestyle,42508,0.0,2742,Sophia Starr,9839433,6.02,Twitter,57830.36440635152
59,1926,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #basketball #workout,71827,7909,2505,2024-06-06 18:36:15,Instagram,sports,82241,0.0,1926,Chris Wilson,8241609,7.09,YouTube,57817.518211926516
60,4478,Trying out new recipes and loving the results! #food #cooking #football #basketball,76194,4802,159,2024-09-14 22:14:59,Instagram,sports,81155,0.8,4478,Sophia Starr,5391018,4.12,Instagram,56439.686317306514
61,790,Did anyone else catch the new movie release? #movies #entertainment #programming #tech,51869,782,3447,2024-02-10 08:06:45,YouTube,technology,56098,0.0,790,Mike Wilson,3747347,8.2,Twitter,57781.385218900454
62,4046,Exploring the latest advancements in AI! #tech #future #fitness #food,96187,8940,2345,2024-03-04 07:47:22,TikTok,lifestyle,107472,0.35378787878787876,4046,Emma Davis,8255262,4.43,TikTok,57218.43792589526
63,2292,Trying out new recipes and loving the results! #food #cooking #sportsnews #basketball,26257,9864,3648,2024-04-09 22:38:35,Twitter,sports,39769,0.11212121212121212,2292,Chris Doe,1299625,5.15,YouTube,57571.81280219952
64,4287,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #programming #AI,30859,4402,382,2024-02-02 04:41:35,Instagram,technology,35643,0.8,4287,John Smith,9005622,4.66,Instagram,56468.747030972954
65,2205,Did anyone else catch the new movie release? #movies #entertainment #food #fitness,10662,9960,1103,2024-02-05 01:52:31,TikTok,lifestyle,21725,0.0,2205,Mike Davis,2371522,7.0,TikTok,57770.32385329025
66,4632,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #fitness #workout,4433,2272,127,2024-08-04 06:56:06,Twitter,sports,6832,0.11212121212121212,4632,John Davis,6142714,2.81,Instagram,57610.75029651152
67,291,Just finished a 5K! Can't wait for the next one! #fitness #health #celebrity #music,13939,9461,3726,2024-02-24 04:31:53,YouTube,entertainment,27126,0.11212121212121212,291,Oliver Brown,1321953,2.89,Instagram,57571.99231498011
68,3255,Did anyone else catch the new movie release? #movies #entertainment #workout #football,61881,6045,4432,2024-07-01 04:58:41,TikTok,sports,72358,0.11212121212121212,3255,Jane Davis,18943,0.63,YouTube,57561.516367818396
69,3724,"Game night with friends, who’s your favorite player? #sports #basketball #wellness #food",71250,1188,3965,2024-10-10 13:09:13,Twitter,lifestyle,76403,0.375,3724,Mike Smith,7705378,3.4,TikTok,57178.09122343889
70,1957,Did anyone else catch the new movie release? #movies #entertainment #programming #AI,13730,8188,4251,2024-06-24 04:32:00,Twitter,technology,26169,0.25,1957,Mike Wilson,8225263,3.28,Twitter,57393.97626295439
71,2700,Exploring the latest advancements in AI! #tech #future #programming #AI,85194,8419,101,2024-10-25 10:18:57,Twitter,technology,93714,0.35378787878787876,2700,Sarah Doe,2939002,8.73,Instagram,57175.69622870343
72,2075,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #future #programming,84453,2002,2020,2024-01-03 08:56:40,YouTube,technology,88475,0.0,2075,Anna Wilson,1117963,2.68,YouTube,57760.245482557795
73,937,Did anyone else catch the new movie release? #movies #entertainment #entertainment #music,10925,6958,807,2024-02-25 07:42:19,Instagram,entertainment,18690,0.375,937,Jane Wilson,5441588,2.12,TikTok,57159.89079180351
74,2043,"Game night with friends, who’s your favorite player? #sports #basketball #entertainment #celebrity",97038,7496,1381,2024-03-07 17:52:28,YouTube,entertainment,105915,0.25,2043,Oliver Wilson,7775430,9.03,Twitter,57390.35969305885
75,624,The future of programming is bright! #tech #innovation #style #wellness,62624,8086,1172,2024-05-08 21:54:23,TikTok,lifestyle,71882,0.0,624,Chris Doe,1486707,7.47,Twitter,57763.21011265288
76,3881,Exploring the latest advancements in AI! #tech #future #AI #programming,54100,1484,378,2024-05-15 08:38:48,Instagram,technology,55962,0.35378787878787876,3881,Oliver Johnson,1409128,0.67,Instagram,57163.396339072446
77,3596,Exploring the latest advancements in AI! #tech #future #food #style,78485,5337,4937,2024-06-02 12:07:38,Twitter,lifestyle,88759,0.2556818181818182,3596,Oliver Starr,4263814,8.14,TikTok,57352.504016298895
78,4495,Catching up with my favorite show tonight! #tv #entertainment #style #wellness,39376,4654,1661,2024-03-08 13:02:12,YouTube,lifestyle,45691,0.0,4495,Sophia Wilson,8635432,6.45,YouTube,57820.684472307534
79,4782,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #entertainment #gossip,65890,3764,277,2024-04-12 12:03:37,TikTok,entertainment,69931,0.0,4782,John Miller,9084604,9.29,Twitter,57824.29572789154
80,1809,Trying out new recipes and loving the results! #food #cooking #wellness #fitness,25278,4388,2684,2024-09-14 10:47:52,YouTube,lifestyle,32350,0.0,1809,Jane Starr,8106017,4.07,YouTube,57816.42807859865
81,2882,"Game night with friends, who’s your favorite player? #sports #basketball #innovation #AI",51093,7703,3405,2024-09-21 18:21:17,Instagram,technology,62201,0.8,2882,Oliver Brown,6321189,3.12,TikTok,56447.164711369
82,3488,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #football #workout,36739,2189,2308,2024-02-08 05:09:12,TikTok,sports,41236,0.25,3488,Mike Starr,8592984,8.24,Instagram,57396.9326683283
83,4397,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #fitness #wellness,83239,9936,4551,2024-01-26 12:53:43,Twitter,lifestyle,97726,0.25,4397,Mike Starr,4689138,2.38,Instagram,57365.546505195656
84,2922,"Game night with friends, who’s your favorite player? #sports #basketball #fitness #sportsnews",48982,3094,305,2024-06-26 10:03:29,Instagram,sports,52381,0.2556818181818182,2922,Alex Taylor,788124,5.28,Instagram,57324.56014419469
85,468,Exploring the latest advancements in AI! #tech #future #basketball #fitness,3184,4773,1065,2024-05-30 05:47:33,Instagram,sports,9022,0.375,468,Sophia Miller,5458925,5.69,Instagram,57160.03017791409
86,3329,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #entertainment #gossip,12163,8796,227,2024-08-18 00:20:20,TikTok,entertainment,21186,0.25,3329,Jane Miller,8085137,8.08,Twitter,57392.8496771477
87,2879,The future of programming is bright! #tech #innovation #future #tech,34993,9730,3299,2024-04-01 20:13:29,Instagram,technology,48022,0.375,2879,Oliver Smith,2446784,5.72,Twitter,57135.81314967975
88,1340,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #movies #celebrity,32166,8294,1641,2024-06-24 20:35:51,Twitter,entertainment,42101,0.375,1340,Chris Miller,9509698,6.71,Instagram,57192.59760557166
89,4207,Just finished a 5K! Can't wait for the next one! #fitness #health #AI #programming,14777,1020,488,2024-07-04 04:37:51,Instagram,technology,16285,0.0,4207,Anna Smith,1254294,3.01,YouTube,57761.34155730205
90,1559,Trying out new recipes and loving the results! #food #cooking #movies #gossip,15973,5563,989,2024-10-25 05:43:36,TikTok,entertainment,22525,0.0,1559,Oliver Smith,1971461,4.14,Twitter,57767.107440601576
91,4130,Catching up with my favorite show tonight! #tv #entertainment #future #AI,77857,5491,1508,2024-02-11 00:36:46,YouTube,technology,84856,0.0,4130,John Doe,7067315,3.22,YouTube,57808.077116389024
92,506,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #basketball #football,39748,2095,543,2024-10-28 06:26:12,TikTok,sports,42386,0.0,506,Anna Wilson,5284219,4.45,TikTok,57793.7413710914
93,2637,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #football #sportsnews,18708,7086,437,2024-01-16 06:36:02,TikTok,sports,26231,0.35378787878787876,2637,Sarah Smith,8204299,8.34,Instagram,57218.02819327985
94,1505,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #movies #entertainment,38988,910,3207,2024-01-08 04:02:56,YouTube,entertainment,43105,0.0,1505,Mike Brown,4821422,7.72,YouTube,57790.02057315539
95,2108,Catching up with my favorite show tonight! #tv #entertainment #wellness #travel,74683,5290,4603,2024-04-29 14:47:08,Twitter,lifestyle,84576,0.0,2108,Mike Miller,3211357,5.72,TikTok,57777.07596346941
96,739,"Game night with friends, who’s your favorite player? #sports #basketball #food #wellness",27928,5901,1287,2024-04-13 03:05:41,Instagram,lifestyle,35116,0.2556818181818182,739,Emma Johnson,6833768,6.83,Twitter,57373.16594699169
97,3379,The future of programming is bright! #tech #innovation #fitness #travel,76559,6294,4874,2024-10-29 03:51:28,YouTube,lifestyle,87727,0.25,3379,Chris Brown,2445199,3.45,Instagram,57347.50567174227
98,3328,Catching up with my favorite show tonight! #tv #entertainment #tech #AI,86924,8371,880,2024-09-22 20:05:19,TikTok,technology,96175,0.35378787878787876,3328,Sophia Wilson,7978278,0.78,Twitter,57216.21102836674
99,243,Just finished a 5K! Can't wait for the next one! #fitness #health #travel #style,97827,9793,4959,2024-07-11 04:13:42,TikTok,lifestyle,112579,0.0,243,Jane Smith,2162499,3.13,Instagram,57768.64334899359
100,2784,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #sportsnews #football,15538,2585,3382,2024-09-16 05:02:44,Twitter,sports,21505,0.8,2784,Anna Davis,595883,9.38,Twitter,56401.134363834724
101,1548,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #workout #basketball,79749,5243,3969,2024-09-19 09:18:57,TikTok,sports,88961,0.2556818181818182,1548,Emma Johnson,2743497,5.0,Instagram,57340.28096309051
102,4188,Exploring the latest advancements in AI! #tech #future #wellness #fitness,28882,8044,3411,2024-07-25 21:38:14,Instagram,lifestyle,40337,0.25,4188,Sarah Wilson,8262695,4.4,TikTok,57394.27720895953
103,1409,Trying out new recipes and loving the results! #food #cooking #fitness #wellness,44176,3794,3591,2024-10-25 02:54:48,TikTok,lifestyle,51561,0.375,1409,Anna Johnson,6532051,1.91,Instagram,57168.657902393454
104,2641,Exploring the latest advancements in AI! #tech #future #food #wellness,41737,8003,1219,2024-02-22 17:26:43,YouTube,lifestyle,50959,0.8,2641,Jane Starr,5011432,6.67,TikTok,56436.63451963856
105,894,Just finished a 5K! Can't wait for the next one! #fitness #health #celebrity #gossip,64215,2158,4757,2024-10-07 19:51:40,Instagram,entertainment,71130,0.2556818181818182,894,Alex Wilson,5634583,6.54,YouTube,57363.52473265173
106,901,Did anyone else catch the new movie release? #movies #entertainment #entertainment #movies,16033,6958,3439,2024-07-23 10:06:51,TikTok,entertainment,26430,0.35378787878787876,901,Sophia Smith,1770322,4.7,YouTube,57166.30026863486
107,429,Trying out new recipes and loving the results! #food #cooking #gossip #music,77554,8970,1573,2024-06-20 20:32:39,YouTube,entertainment,88097,0.0,429,Anna Doe,8489023,2.38,YouTube,57819.50737240193
108,3549,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #wellness #food,50069,5490,3211,2024-10-05 10:49:01,YouTube,lifestyle,58770,0.25,3549,Oliver Wilson,2022916,8.63,TikTok,57344.110598492414
109,3337,Exploring the latest advancements in AI! #tech #future #wellness #fitness,73762,508,4608,2024-09-23 23:22:30,YouTube,lifestyle,78878,0.0,3337,Jane Wilson,3250019,2.4,YouTube,57777.3867984355
110,1724,Exploring the latest advancements in AI! #tech #future #future #tech,1591,5389,159,2024-05-10 17:03:19,YouTube,technology,7139,0.35378787878787876,1724,Anna Brown,5611716,2.78,TikTok,57197.184329824966
111,2307,Did anyone else catch the new movie release? #movies #entertainment #fitness #workout,88221,3061,194,2024-01-01 08:58:51,Instagram,sports,91476,0.0,2307,Oliver Davis,5339519,9.22,YouTube,57794.18597234391
112,2756,Just finished a 5K! Can't wait for the next one! #fitness #health #gossip #movies,91844,9305,2500,2024-09-25 05:45:51,Instagram,entertainment,103649,0.25,2756,John Doe,9511543,9.38,YouTube,57404.31770416756
113,4526,Trying out new recipes and loving the results! #food #cooking #football #sportsnews,37055,3302,2881,2024-08-06 05:33:08,TikTok,sports,43238,0.2556818181818182,4526,Emma Doe,9070589,1.78,YouTube,57391.14955310846
114,2143,Trying out new recipes and loving the results! #food #cooking #celebrity #gossip,62954,3179,2114,2024-08-20 21:01:35,YouTube,entertainment,68247,0.11212121212121212,2143,Chris Doe,1721699,3.78,TikTok,57575.20619513
115,4581,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #sportsnews #basketball,74106,5758,3138,2024-05-20 17:47:34,YouTube,sports,83002,0.0,4581,Sarah Wilson,2436188,4.16,Twitter,57770.84375536249
116,2507,Just finished a 5K! Can't wait for the next one! #fitness #health #food #wellness,49765,9864,3852,2024-10-02 18:41:57,Twitter,lifestyle,63481,0.11212121212121212,2507,Chris Doe,7011640,2.22,TikTok,57617.736292676884
117,3895,Catching up with my favorite show tonight! #tv #entertainment #tech #future,23502,5999,126,2024-08-26 17:25:23,TikTok,technology,29627,0.375,3895,Anna Johnson,7666171,7.91,YouTube,57177.77600677872
118,3993,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #movies #gossip,19284,970,4344,2024-11-07 09:22:03,YouTube,entertainment,24598,0.0,3993,Chris Johnson,842909,4.7,Instagram,57758.03410185418
119,4306,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #AI #future,74905,789,2804,2024-04-26 17:18:45,Instagram,technology,78498,0.2556818181818182,4306,Jane Johnson,8029449,4.75,Instagram,57382.77898985266
120,3384,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #movies #celebrity,65198,4146,4245,2024-01-13 09:57:48,TikTok,entertainment,73589,0.25,3384,Emma Davis,2049692,4.0,TikTok,57344.32587232853
121,2959,Just finished a 5K! Can't wait for the next one! #fitness #health #gossip #celebrity,22326,6130,350,2024-09-16 12:06:11,Twitter,entertainment,28806,0.35378787878787876,2959,Chris Johnson,796811,4.83,TikTok,57158.47342939545
122,3113,Catching up with my favorite show tonight! #tv #entertainment #style #food,65661,844,4049,2024-06-12 14:40:15,Instagram,lifestyle,70554,0.8,3113,Jane Wilson,4202825,3.65,Twitter,56430.133476510266
123,1731,Trying out new recipes and loving the results! #food #cooking #football #sportsnews,39066,412,2038,2024-01-02 18:43:09,YouTube,sports,41516,0.0,1731,Anna Doe,2732491,1.02,Twitter,57773.22597389639
124,7,Traveling soon! Any recommendations for amazing places to visit? #travel #wanderlust #fitness #style,96105,2586,121,2024-03-05 16:15:47,Instagram,lifestyle,98812,0.0,7,Jane Taylor,1250259,3.87,YouTube,57761.30911668624
125,537,Trying out new recipes and loving the results! #food #cooking #workout #basketball,74883,8454,2727,2024-06-01 00:12:23,Twitter,sports,86064,0.0,537,Chris Wilson,2548727,6.71,YouTube,57771.74854705069
126,2848,Sustainable living is the future! Let's work towards a greener planet. #lifestyle #sustainability #movies #celebrity,96521,1893,4009,2024-11-04 03:53:21,Instagram,entertainment,102423,0.11212121212121212,2848,Emma Taylor,5489258,4.46,TikTok,57605.49663726983
127,3676,A well-balanced life is key! Staying healthy and strong. #fitness #wellness #entertainment #celebrity,95578,9282,1505,2024-07-31 10:06:41,TikTok,entertainment,106365,0.0,3676,Oliver Wilson,8308235,5.95,Instagram,57818.053872017845
128,3586,Did anyone else catch the new movie release? #movies #entertainment #travel #fitness,27533,2668,482,2024-04-08 06:06:14,Instagram,lifestyle,30683,0.8,3586,Mike Wilson,2973312,4.45,YouTube,56420.24843094451
